Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-06-04,2110.6,2150.0,2157.0,2037.95,2045,2046.2,2098.04,22199081,46574473923.0,245711,13914623,62.68,6,2018,1854.2282669463646,-0.030512650431156918,Slight or No change
HDFCBANK,EQ,2018-06-05,2046.2,2050.0,2066.95,2023.0,2064.85,2063.6,2050.5,4276365,8768700390.0,107261,2076336,48.55,6,2018,1856.3899183422293,0.008503567588700855,Slight or No change
HDFCBANK,EQ,2018-06-06,2063.6,2060.2,2064.8,2045.0,2057.4,2057.35,2057.29,2445500,5031101788.0,95270,1579516,64.59,6,2018,1857.5694611064566,-0.0030286877301802795,Slight or No change
HDFCBANK,EQ,2018-06-07,2057.35,2073.2,2079.8,2053.2,2061.9,2062.2,2070.16,2640974,5467251084.0,78397,1574412,59.61,6,2018,1858.8583830676816,0.002357401511653201,Slight or No change
HDFCBANK,EQ,2018-06-08,2062.2,2059.0,2061.25,2035.0,2048.95,2049.35,2046.16,1545222,3161769178.0,104515,884695,57.25,6,2018,1859.5578403566087,-0.006231209388032122,Slight or No change
HDFCBANK,EQ,2018-06-11,2049.35,2051.9,2062.95,2038.8,2041.75,2042.3,2051.22,1772797,3636404885.0,57753,1138924,64.24,6,2018,1860.3244363246056,-0.0034401151584648737,Slight or No change
HDFCBANK,EQ,2018-06-12,2042.3,2051.9,2052.7,2038.4,2045,2043.85,2045.45,1308564,2676605963.0,54586,871913,66.63,6,2018,1860.8909594102652,0.0007589482446261897,Slight or No change
HDFCBANK,EQ,2018-06-13,2043.85,2052.0,2054.8,2024.1,2032,2031.45,2034.95,1974490,4017987613.0,103434,1353016,68.52,6,2018,1861.6817064938548,-0.0060669814321011595,Slight or No change
HDFCBANK,EQ,2018-06-14,2031.45,2030.0,2045.0,2025.0,2035,2037.4,2039.58,4231894,8631283806.0,96797,2913891,68.86,6,2018,1863.4105891376598,0.0029289423810578974,Slight or No change
HDFCBANK,EQ,2018-06-15,2037.4,2026.0,2038.9,2022.3,2027,2029.6,2031.56,2720204,5526268358.0,90605,1836184,67.5,6,2018,1864.4550221786462,-0.003828408756258117,Slight or No change
