Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,IL,26-Jul-17,1791.5,1740,1750,1740,-,1750,1745,2,3490,2,2,100
HDFCBANK,EQ,27-Jul-17,1747.55,1756,1798.8,1751.55,1785.1,1789.65,1783.31,4490428,8007829722,53641,2776563,61.83
HDFCBANK,IL,27-Jul-17,1750,1810,1820,1810,-,1820,1815.67,252000,457550000,6,222000,88.1
HDFCBANK,EQ,28-Jul-17,1789.65,1772,1786.5,1761.1,1774.4,1778.5,1773.42,2313849,4103424872,75518,1381677,59.71
HDFCBANK,IL,28-Jul-17,1820,1825,1825,1825,-,1825,1825,1,1825,1,1,100
HDFCBANK,EQ,31-Jul-17,1778.5,1777.55,1791,1766.55,1782,1784.4,1778.4,1842285,3276319757,29449,1101211,59.77
HDFCBANK,EQ,01-Aug-17,1784.4,1781.85,1809.15,1772.2,1806,1797.2,1787.29,2129215,3805526020,39634,1331147,62.52
HDFCBANK,EQ,02-Aug-17,1797.2,1807,1807,1782.05,1789.4,1791.65,1793.32,1849479,3316710578,28704,1073262,58.03
HDFCBANK,IL,02-Aug-17,1825,1825,1825,1821,-,1821,1822.32,135903,247659363,6,135000,99.34
HDFCBANK,EQ,03-Aug-17,1791.65,1788,1792,1774.4,1777,1779.95,1784.16,1064196,1898691929,40189,532455,50.03
HDFCBANK,EQ,04-Aug-17,1779.95,1777,1796.75,1766.15,1788,1790.25,1783.23,886267,1580414901,27909,492301,55.55
HDFCBANK,IL,04-Aug-17,1821,1810,1810,1810,-,1810,1810,130757,236670170,4,130757,100
HDFCBANK,EQ,07-Aug-17,1790.25,1786,1796.45,1785,1788.95,1788.55,1788.9,479665,858070796.5,23375,258332,53.86
HDFCBANK,EQ,08-Aug-17,1788.55,1792.1,1797.25,1766.1,1776.2,1777.9,1777.66,1008843,1793381528,22100,480607,47.64
HDFCBANK,IL,08-Aug-17,1810,1810,1810,1810,-,1810,1810,148090,268042900,4,148090,100
HDFCBANK,EQ,09-Aug-17,1777.9,1771,1777.05,1758.35,1764.85,1764.45,1765.73,817514,1443509254,28969,367123,44.91
HDFCBANK,EQ,10-Aug-17,1764.45,1760,1766,1752.85,1759.9,1760.45,1759.88,1947111,3426688671,25032,824172,42.33
HDFCBANK,EQ,11-Aug-17,1760.45,1745,1758,1731.15,1751.55,1749.05,1745.33,1589959,2775004879,44760,933883,58.74
HDFCBANK,IL,11-Aug-17,1810,1766.5,1766.5,1760,-,1760,1763.36,114000,201023500,5,114000,100
HDFCBANK,EQ,14-Aug-17,1749.05,1753,1774.95,1748,1756,1757.2,1763.29,894271,1576861460,29948,381974,42.71
HDFCBANK,EQ,16-Aug-17,1757.2,1762.35,1789.8,1748.55,1780,1781.25,1771.34,1106708,1960350804,33007,548143,49.53
HDFCBANK,EQ,17-Aug-17,1781.25,1776.25,1780.95,1753.75,1768,1765.4,1770.23,1363717,2414091935,28952,430581,31.57
HDFCBANK,EQ,18-Aug-17,1765.4,1760,1761,1743,1754.25,1752.15,1750.79,926866,1622750045,32410,591150,63.78
HDFCBANK,EQ,21-Aug-17,1752.15,1754,1759,1738.2,1742.15,1743.2,1747.56,1002431,1751811096,29000,652267,65.07
HDFCBANK,EQ,22-Aug-17,1743.2,1751.3,1754,1736.8,1748.55,1747,1744.99,1652389,2883401580,61483,1038533,62.85
HDFCBANK,EQ,23-Aug-17,1747,1750,1777.95,1750,1769.1,1772.45,1767.91,840131,1485274496,28305,449582,53.51
HDFCBANK,IL,23-Aug-17,1760,1775,1781,1775,-,1781,1776.74,458879,815309721,22,408963,89.12
HDFCBANK,EQ,24-Aug-17,1772.45,1774.9,1774.95,1759.15,1767.5,1762.5,1764.17,1969569,3474659289,29178,584539,29.68
HDFCBANK,EQ,28-Aug-17,1762.5,1762.4,1771.15,1758.35,1759.75,1762.25,1764.02,376946,664940795.8,18676,164586,43.66
HDFCBANK,EQ,29-Aug-17,1762.25,1759,1759,1738,1748.95,1746.15,1744.1,1229649,2144630136,25477,657465,53.47
HDFCBANK,EQ,30-Aug-17,1746.15,1751.95,1770,1750.05,1769.65,1768.55,1763.86,673580,1188103642,18278,340011,50.48
HDFCBANK,EQ,31-Aug-17,1768.55,1772,1779.85,1756.4,1769,1776.45,1772.21,1825859,3235800483,36463,844787,46.27
HDFCBANK,IL,31-Aug-17,1781,1780,1780,1780,-,1780,1780,189780,337808400,6,189780,100
HDFCBANK,EQ,01-Sep-17,1776.45,1781,1781.45,1761.1,1765,1767.6,1771.67,573793,1016570200,19096,240856,41.98
HDFCBANK,IL,01-Sep-17,1780,1779,1780,1778,-,1778,1779,90000,160110000,5,65000,72.22
HDFCBANK,EQ,04-Sep-17,1767.6,1765,1765,1746.1,1750,1750.9,1752.37,910631,1595764536,31359,527482,57.92
HDFCBANK,IL,04-Sep-17,1778,1770,1770,1770,-,1770,1770,10164,17990280,3,0,0
HDFCBANK,EQ,05-Sep-17,1750.9,1757,1764.9,1751,1755,1755.35,1757.77,920609,1618215151,24788,439271,47.72
HDFCBANK,EQ,06-Sep-17,1755.35,1743.75,1762.8,1738,1761.55,1759.9,1753.59,1437908,2521503245,24340,869626,60.48
HDFCBANK,EQ,07-Sep-17,1759.9,1760.1,1776.75,1760.1,1765.25,1766.55,1766.63,1736605,3067935846,27641,605806,34.88
HDFCBANK,EQ,08-Sep-17,1766.55,1773.4,1790,1771,1785,1787.65,1781.89,2077916,3702622521,33955,1234323,59.4
HDFCBANK,IL,08-Sep-17,1770,1780,1790,1780,-,1790,1781.42,326202,581101580,14,325697,99.85
HDFCBANK,EQ,11-Sep-17,1787.65,1793,1829,1790.2,1822,1823.35,1816.72,2869419,5212939745,88980,1733975,60.43
HDFCBANK,IL,11-Sep-17,1790,1815,1815,1815,-,1815,1815,500000,907500000,10,500000,100
HDFCBANK,EQ,12-Sep-17,1823.35,1827.7,1839.9,1818.3,1837.1,1835.2,1833.12,1671920,3064825860,67989,919925,55.02
HDFCBANK,EQ,13-Sep-17,1835.2,1835,1849,1824,1843.25,1841.85,1841.58,1248844,2299847292,30091,657075,52.61
HDFCBANK,IL,13-Sep-17,1815,1840,1840,1840,-,1840,1840,50000,92000000,2,50000,100
HDFCBANK,EQ,14-Sep-17,1841.85,1840.15,1852.5,1831.5,1840,1839.4,1839.93,2038504,3750701011,29517,557209,27.33
HDFCBANK,EQ,15-Sep-17,1839.4,1836,1851.8,1833.45,1850,1848.95,1845.98,941833,1738607041,24200,487645,51.78
HDFCBANK,EQ,18-Sep-17,1848.95,1853.55,1864.45,1852.5,1860,1860.45,1861.58,1021232,1901109128,29374,754277,73.86
HDFCBANK,EQ,19-Sep-17,1860.45,1864.9,1868,1847.55,1847.55,1849.7,1858.58,1060367,1970780896,23565,684467,64.55
HDFCBANK,IL,19-Sep-17,1840,1870,1870,1870,-,1870,1870,72000,134640000,6,72000,100
HDFCBANK,EQ,20-Sep-17,1849.7,1848,1861.45,1845.25,1850,1848.85,1850.15,861532,1593967559,26905,579361,67.25
HDFCBANK,IL,20-Sep-17,1870,1860.5,1860.5,1850,-,1850,1852.44,87900,162829450,12,87900,100
HDFCBANK,EQ,21-Sep-17,1848.85,1848,1848.5,1830.7,1843,1839.1,1839.29,1928124,3546374079,50920,1006098,52.18
HDFCBANK,IL,21-Sep-17,1850,1845,1845,1836.95,-,1836.95,1840.54,162000,298167750,5,112000,69.14
HDFCBANK,EQ,22-Sep-17,1839.1,1834.8,1838.95,1820,1823,1824.1,1826.77,2060881,3764746964,52897,1491250,72.36
HDFCBANK,IL,22-Sep-17,1836.95,1831,1831,1831,-,1831,1831,18807,34435617,1,18807,100
HDFCBANK,EQ,25-Sep-17,1824.1,1822.45,1822.45,1792.6,1798.8,1799.75,1802.36,2537307,4573149062,86102,1735249,68.39
HDFCBANK,IL,25-Sep-17,1831,1810.25,1812.5,1797.5,-,1799,1802.09,415949,749577700,88,415949,100
HDFCBANK,EQ,26-Sep-17,1799.75,1789.05,1796.6,1785,1791,1792.3,1790.07,2859683,5119024677,69670,2089818,73.08
HDFCBANK,EQ,27-Sep-17,1792.3,1796,1805.6,1770,1780.55,1776.5,1779.35,1834305,3263870334,50529,1187303,64.73
HDFCBANK,IL,27-Sep-17,1799,1780,1780,1780,-,1780,1780,250000,445000000,5,250000,100
HDFCBANK,EQ,28-Sep-17,1776.5,1774,1799,1763.3,1795,1795.3,1789.02,6911616,12365024439,97472,3794792,54.9
HDFCBANK,IL,28-Sep-17,1780,1780,1780,1780,-,1780,1780,200000,356000000,4,200000,100
HDFCBANK,EQ,29-Sep-17,1795.3,1800.1,1822,1796.25,1800.05,1805.7,1812.45,1553408,2815470650,58153,1016550,65.44
HDFCBANK,IL,29-Sep-17,1780,1840,1840,1815,-,1816.4,1820.5,1000,1820500,4,1000,100
HDFCBANK,EQ,03-Oct-17,1805.7,1808,1821,1797.1,1810.2,1808.85,1811.27,1098606,1989876646,34504,589947,53.7
HDFCBANK,EQ,04-Oct-17,1808.85,1807.9,1811.9,1793.35,1794,1797,1804.18,1656276,2988217758,25580,1215255,73.37
HDFCBANK,EQ,05-Oct-17,1797,1795,1805,1793.1,1798.8,1798.6,1800.4,834049,1501622832,38155,427038,51.2
HDFCBANK,IL,05-Oct-17,1816.4,1806,1807,1802,-,1802,1805.18,192191,346939137,6,192191,100
HDFCBANK,EQ,06-Oct-17,1798.6,1798,1804.45,1794,1799.95,1800.1,1799.53,757665,1363439873,24959,376128,49.64
HDFCBANK,IL,06-Oct-17,1802,1809,1809,1807,-,1807,1807.75,32000,57848000,2,32000,100
HDFCBANK,EQ,09-Oct-17,1800.1,1798.8,1803,1790.5,1795.15,1795.5,1797.35,765623,1376094775,27930,520471,67.98
HDFCBANK,EQ,10-Oct-17,1795.5,1799,1814.95,1792.65,1800,1802.7,1806.18,949545,1715046387,30047,516925,54.44
HDFCBANK,IL,10-Oct-17,1807,1800,1810,1800,-,1810,1805.29,63761,115107410,5,63761,100
HDFCBANK,EQ,11-Oct-17,1802.7,1803.25,1815.25,1787.6,1789,1790.15,1802.03,1316860,2373017279,36368,902433,68.53
HDFCBANK,EQ,12-Oct-17,1790.15,1795.1,1821.45,1788,1820,1818.8,1805.42,1345390,2428990123,20722,650121,48.32
HDFCBANK,EQ,13-Oct-17,1818.8,1826.7,1856.55,1822,1848.9,1850.8,1845.91,1608366,2968902053,38331,921394,57.29
HDFCBANK,EQ,16-Oct-17,1850.8,1860,1873.25,1842,1854.15,1857.15,1857.21,818636,1520380115,17387,282082,34.46
HDFCBANK,EQ,17-Oct-17,1857.15,1850,1853.7,1839.1,1848.95,1851.25,1848.53,653322,1207682521,21579,286796,43.9
HDFCBANK,IL,17-Oct-17,1810,1855,1858.5,1855,-,1858.5,1857.53,103576,192395980,12,103576,100
HDFCBANK,EQ,18-Oct-17,1851.25,1841,1875,1839,1866.25,1868.5,1864.24,981680,1830089741,21247,454935,46.34
HDFCBANK,IL,18-Oct-17,1858.5,1858,1873,1858,-,1873,1867.53,1102364,2058701321,49,1102364,100
HDFCBANK,EQ,19-Oct-17,1868.5,1861.8,1865,1840.65,1845,1848.4,1853.98,142502,264195241.2,5682,69002,48.42
HDFCBANK,EQ,23-Oct-17,1848.4,1859.9,1869.7,1836.05,1865.85,1863.3,1850.99,1040723,1926372969,30073,581885,55.91
HDFCBANK,IL,23-Oct-17,1873,1866.25,1866.25,1866.25,-,1866.25,1866.25,115746,216010972.5,4,115746,100
HDFCBANK,EQ,24-Oct-17,1863.3,1863,1879.6,1853,1866.55,1867.1,1866.12,2832218,5285245264,66436,848580,29.96
HDFCBANK,IL,24-Oct-17,1866.25,1870,1873,1867,-,1867,1870.16,123000,230030000,11,58000,47.15
HDFCBANK,EQ,25-Oct-17,1867.1,1860,1863,1785,1795.15,1795.1,1800.74,5341802,9619220470,173315,3343490,62.59
HDFCBANK,EQ,26-Oct-17,1795.1,1768,1810,1757.85,1791.7,1795.35,1789.19,7142866,12779964396,184420,4974132,69.64
HDFCBANK,IL,26-Oct-17,1867,1766,1779,1766,-,1779,1774.48,115000,204065000,4,115000,100
HDFCBANK,EQ,27-Oct-17,1795.35,1804.4,1807.5,1779,1787.9,1791.05,1792.86,1868022,3349109114,49615,1118984,59.9
HDFCBANK,IL,27-Oct-17,1779,1797,1797,1797,-,1797,1797,150000,269550000,4,150000,100
HDFCBANK,EQ,30-Oct-17,1791.05,1798.25,1816,1792.4,1815.75,1815,1805.49,1355588,2447503452,27755,880144,64.93
HDFCBANK,EQ,31-Oct-17,1815,1811.5,1811.5,1799.25,1809.45,1808.5,1805.2,1170615,2113192780,55768,722914,61.76
HDFCBANK,EQ,01-Nov-17,1808.5,1815.1,1825,1812,1822.5,1821.2,1819.3,1047653,1905990950,26503,573002,54.69
HDFCBANK,EQ,02-Nov-17,1821.2,1823,1829.8,1816.95,1820,1822.1,1822.05,1184486,2158197543,30785,739301,62.42
HDFCBANK,EQ,03-Nov-17,1822.1,1825.7,1840,1821.6,1830,1830.7,1829.95,952622,1743253303,50442,561501,58.94
HDFCBANK,EQ,06-Nov-17,1830.7,1825,1840,1822.6,1828,1828.6,1833.27,1537061,2817847903,51333,821944,53.48
HDFCBANK,IL,06-Nov-17,1797,1857,1860,1852.6,-,1860,1857.59,1206,2240256.6,27,1206,100
HDFCBANK,EQ,07-Nov-17,1828.6,1838,1844.95,1820.75,1825,1823.7,1828.67,1861594,3404233842,41972,1396048,74.99
HDFCBANK,EQ,08-Nov-17,1823.7,1825.2,1833.6,1819,1822.6,1825.95,1826.22,820786,1498935108,20749,498960,60.79
HDFCBANK,EQ,09-Nov-17,1825.95,1827,1835,1821.1,1834,1827.85,1826.26,778327,1421424360,12695,381328,48.99
HDFCBANK,IL,09-Nov-17,1860,1840,1840,1840,-,1840,1840,110000,202400000,5,110000,100
